repo,language,tool,severity,kind,id,package,installed,fixed,path,line,title
charging-network-gateway,typescript,semgrep,HIGH,code,palmtree-ts-jwt-verify-no-algorithms,,,,src/roaming.ts,17,jwt
charging-network-gateway,typescript,trivy,CRITICAL,dependency,CVE-2021-44906,minimist,1.2.5,"1.2.6, 0.2.4",package-lock.json,,minimist: prototype pollution
charging-network-gateway,typescript,trivy,HIGH,dependency,CVE-2022-0235,node-fetch,2.6.0,"3.1.1, 2.6.7",package-lock.json,,node-fetch: exposure of sensitive information to an unauthorized actor
charging-network-gateway,typescript,trivy,HIGH,dependency,CVE-2022-23539,jsonwebtoken,8.5.1,9.0.0,package-lock.json,,jsonwebtoken: Unrestricted key type could lead to legacy keys usagen
charging-network-gateway,typescript,trivy,HIGH,dependency,CVE-2026-25223,fastify,4.29.1,5.7.2,package-lock.json,,Fastify: Fastify: Validation bypass due to malformed Content-Type header leading to integrity impact
charging-network-gateway,typescript,trivy,HIGH,dependency,CVE-2026-47219,find-my-way,8.2.2,9.7.0,package-lock.json,,find-my-way: find-my-way: Denial of Service vulnerability in HTTP/2 server
fleet-diagnostics-jobs,python,semgrep,HIGH,code,palmtree-py-hardcoded-service-token,,,,fleetdiag/config.py,19,Hardcoded service token
fleet-diagnostics-jobs,python,semgrep,HIGH,code,palmtree-py-yaml-load-no-loader,,,,fleetdiag/config.py,23,yaml
fleet-diagnostics-jobs,python,trivy,CRITICAL,dependency,CVE-2020-14343,PyYAML,5.3,5.4,requirements.txt,,PyYAML: incomplete fix for CVE-2020-1747
fleet-diagnostics-jobs,python,trivy,CRITICAL,dependency,CVE-2020-1747,PyYAML,5.3,5.3.1,requirements.txt,,PyYAML: arbitrary command execution through python/object/new when FullLoader is used
fleet-diagnostics-jobs,python,trivy,HIGH,dependency,CVE-2021-33503,urllib3,1.26.4,1.26.5,requirements.txt,,python-urllib3: ReDoS in the parsing of authority part of URL
fleet-diagnostics-jobs,python,trivy,HIGH,dependency,CVE-2023-0286,cryptography,3.3.2,39.0.1,requirements.txt,,openssl: X.400 address type confusion in X.509 GeneralName
fleet-diagnostics-jobs,python,trivy,HIGH,dependency,CVE-2023-43804,urllib3,1.26.4,"2.0.6, 1.26.17",requirements.txt,,python-urllib3: Cookie request header isn't stripped during cross-origin redirects
fleet-diagnostics-jobs,python,trivy,HIGH,dependency,CVE-2023-50782,cryptography,3.3.2,42.0.0,requirements.txt,,python-cryptography: Bleichenbacher timing oracle attack against RSA decryption - incomplete fix for CVE-2020-25659
fleet-diagnostics-jobs,python,trivy,HIGH,dependency,CVE-2025-66418,urllib3,1.26.4,2.6.0,requirements.txt,,urllib3: urllib3: Unbounded decompression chain leads to resource exhaustion
fleet-diagnostics-jobs,python,trivy,HIGH,dependency,CVE-2025-66471,urllib3,1.26.4,2.6.0,requirements.txt,,urllib3: urllib3 Streaming API improperly handles highly compressed data
fleet-diagnostics-jobs,python,trivy,HIGH,dependency,CVE-2026-21441,urllib3,1.26.4,2.6.3,requirements.txt,,urllib3: urllib3 vulnerable to decompression-bomb safeguard bypass when following HTTP redirects (streaming API)
fleet-diagnostics-jobs,python,trivy,HIGH,dependency,CVE-2026-26007,cryptography,3.3.2,46.0.5,requirements.txt,,cryptography: cryptography Subgroup Attack Due to Missing Subgroup Validation for SECT Curves
fleet-diagnostics-jobs,python,trivy,HIGH,dependency,CVE-2026-44431,urllib3,1.26.4,2.7.0,requirements.txt,,urllib3: urllib3: Information disclosure via cross-origin redirects forwarding sensitive headers
fleet-diagnostics-jobs,python,trivy,HIGH,dependency,GHSA-537c-gmf6-5ccf,cryptography,3.3.2,48.0.1,requirements.txt,,Vulnerable OpenSSL included in cryptography wheels
ota-campaign-service,java,semgrep,HIGH,code,palmtree-java-snakeyaml-unsafe-constructor,,,,src/main/java/com/palmtree/ota/manifest/ManifestParser.java,14,new Yaml() uses the default Constructor which can instantiate arbitrary classes
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2020-36518,com.fasterxml.jackson.core:jackson-databind,2.13.2,"2.13.2.1, 2.12.6.1",pom.xml,,jackson-databind: denial of service via a large depth of nested objects
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2022-1471,org.yaml:snakeyaml,1.33,2.0,pom.xml,,SnakeYaml: Constructor Deserialization Remote Code Execution
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2022-42003,com.fasterxml.jackson.core:jackson-databind,2.13.2,"2.12.7.1, 2.13.4.2",pom.xml,,jackson-databind: deep wrapper array nesting wrt UNWRAP_SINGLE_VALUE_ARRAYS
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2022-42004,com.fasterxml.jackson.core:jackson-databind,2.13.2,"2.12.7.1, 2.13.4",pom.xml,,jackson-databind: use of deeply nested arrays
ota-campaign-service,java,trivy,CRITICAL,dependency,CVE-2022-42889,org.apache.commons:commons-text,1.9,1.10.0,pom.xml,,apache-commons-text: variable interpolation RCE
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2023-34053,org.springframework:spring-webmvc,6.0.13,6.0.14,pom.xml,,springframework: io.micrometer: micrometer-core classpath vulnerable to denial of service
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2023-46589,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"11.0.0-M11, 10.1.16, 9.0.83, 8.5.96",pom.xml,,tomcat: HTTP request smuggling via malformed trailer headers
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2023-6378,ch.qos.logback:logback-classic,1.4.11,"1.3.12, 1.4.12, 1.2.13",pom.xml,,logback: serialization vulnerability in logback receiver
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2023-6378,ch.qos.logback:logback-core,1.4.11,"1.3.12, 1.4.12, 1.2.13",pom.xml,,logback: serialization vulnerability in logback receiver
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2024-22243,org.springframework:spring-web,6.0.13,"6.1.4, 6.0.17, 5.3.32",pom.xml,,springframework: URL Parsing with Host Validation
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2024-22259,org.springframework:spring-web,6.0.13,"6.1.5, 6.0.18, 5.3.33",pom.xml,,springframework: URL Parsing with Host Validation
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2024-22262,org.springframework:spring-web,6.0.13,"5.3.34, 6.0.19, 6.1.6",pom.xml,,springframework: URL Parsing with Host Validation
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2024-34750,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"11.0.0-M21, 10.1.25, 9.0.90",pom.xml,,tomcat: Improper Handling of Exceptional Conditions
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2024-38286,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"11.0.0-M21, 10.1.25, 9.0.90",pom.xml,,tomcat: Denial of Service in Tomcat
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2024-38816,org.springframework:spring-webmvc,6.0.13,6.1.13,pom.xml,,spring-webmvc: Path Traversal Vulnerability in Spring Applications Using RouterFunctions and FileSystemResource
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2024-38819,org.springframework:spring-webmvc,6.0.13,6.1.14,pom.xml,,org.springframework:spring-webmvc: Path traversal vulnerability in functional web frameworks
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2024-50379,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"11.0.2, 10.1.34, 9.0.98",pom.xml,,tomcat: RCE due to TOCTOU issue in JSP compilation
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2024-56337,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"11.0.2, 10.1.34, 9.0.98",pom.xml,,tomcat: Incomplete fix for CVE-2024-50379 - RCE due to TOCTOU issue in JSP compilation
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2025-22235,org.springframework.boot:spring-boot,3.1.5,"3.3.11, 3.4.5",pom.xml,,org.springframework.boot/spring-boot: Spring Boot EndpointRequest.to() creates wrong matcher if actuator endpoint is not
ota-campaign-service,java,trivy,CRITICAL,dependency,CVE-2025-24813,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"11.0.3, 10.1.35, 9.0.99",pom.xml,,tomcat: Potential RCE and/or information disclosure and/or information corruption with partial PUT
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2025-41249,org.springframework:spring-core,6.0.13,6.2.11,pom.xml,,org.springframework/spring-core: Spring Framework Annotation Detection Vulnerability
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2025-48988,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"11.0.8, 10.1.42, 9.0.106",pom.xml,,tomcat: Apache Tomcat DoS in multipart upload
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2025-48989,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"11.0.10, 10.1.44, 9.0.108",pom.xml,,"tomcat: http/2 ""MadeYouReset"" DoS attack through HTTP/2 control frames"
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2025-52520,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"11.0.9, 10.1.43, 9.0.107",pom.xml,,tomcat: Apache Tomcat denial of service
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2025-53506,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"9.0.107, 10.1.43, 11.0.9",pom.xml,,tomcat: Apache Tomcat denial of service
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2025-55752,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"11.0.11, 10.1.45, 9.0.109",pom.xml,,tomcat: org.apache.tomcat/tomcat-catalina: Apache Tomcat: Directory traversal via rewrite with possible RCE
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2026-24734,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"11.0.18, 10.1.52, 9.0.115",pom.xml,,tomcat: Apache Tomcat: Certificate revocation bypass due to improper OCSP response validation
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2026-24880,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"9.0.116, 10.1.52, 11.0.20",pom.xml,,Apache Tomcat: Apache Tomcat: HTTP Request/Response Smuggling via invalid chunk extension
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2026-34483,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"9.0.116, 10.1.54, 11.0.21",pom.xml,,Apache Tomcat: Apache Tomcat: Information disclosure due to improper encoding in JsonAccessLogValve
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2026-34487,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"9.0.117, 10.1.54, 11.0.21",pom.xml,,Apache Tomcat: Apache Tomcat: Information disclosure via sensitive data in log files
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2026-41284,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"9.0.118, 10.1.55, 11.0.22",pom.xml,,tomcat: Apache Tomcat: Denial of Service due to uncontrolled resource allocation
ota-campaign-service,java,trivy,CRITICAL,dependency,CVE-2026-41293,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"9.0.118, 10.1.55, 11.0.22",pom.xml,,tomcat-coyote: Apache Tomcat: HTTP/2 request headers not validated
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2026-42498,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"9.0.118, 10.1.55, 11.0.22",pom.xml,,tomcat-coyote: Apache Tomcat: Information disclosure due to HTTP Authentication Header exposure during WebSocket authent
ota-campaign-service,java,trivy,CRITICAL,dependency,CVE-2026-43512,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"9.0.118, 10.1.55, 11.0.22",pom.xml,,tomcat-coyote: Apache Tomcat: Authentication bypass via digest authentication
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2026-43513,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"9.0.118, 10.1.55, 11.0.22",pom.xml,,tomcat-catalina: Apache Tomcat: Improper Handling of Case Sensitivity in LockOutRealm
ota-campaign-service,java,trivy,CRITICAL,dependency,CVE-2026-43515,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"9.0.118, 10.1.55, 11.0.22",pom.xml,,tomcat-coyote: tomcat: Improper Authorization allows security bypass
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2026-54512,com.fasterxml.jackson.core:jackson-databind,2.13.2,"2.18.8, 3.1.4, 2.21.4",pom.xml,,jackson-databind: jackson-databind: Arbitrary code execution via PolymorphicTypeValidator bypass
ota-campaign-service,java,trivy,HIGH,dependency,CVE-2026-54513,com.fasterxml.jackson.core:jackson-databind,2.13.2,"2.18.8, 2.21.4, 3.1.4",pom.xml,,jackson-databind: Jackson-databind: Security bypass allows arbitrary code execution
ota-campaign-service,java,trivy,CRITICAL,dependency,CVE-2026-65182,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"11.0.25, 10.1.58, 9.0.121",pom.xml,,Apache Tomcat: Apache Tomcat: Security constraint bypass due to improper access control
ota-campaign-service,java,trivy,CRITICAL,dependency,CVE-2026-65905,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"11.0.25, 10.1.58, 9.0.121",pom.xml,,tomcat: Apache Tomcat: Authentication bypass via limited replay attack in DIGEST authenticator
ota-campaign-service,java,trivy,CRITICAL,dependency,CVE-2026-68525,org.apache.tomcat.embed:tomcat-embed-core,10.1.15,"11.0.25, 10.1.58, 9.0.121",pom.xml,,org.apache.tomcat/tomcat: Apache Tomcat: Unauthorized resource access via FORM authentication bypass
